"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene"
3.1599809609157e-270,2.20113390994964,0.584,0.22,8.75915122556222e-266,"CDCA4"
1.28448790641633e-239,2.2001108130026,0.548,0.211,3.56047202779542e-235,"ATAD2"
3.42134589344059e-168,2.1891346459529,0.506,0.224,9.48362868202797e-164,"FEN1"
4.51695273238672e-237,2.18334402173253,0.404,0.103,1.25205412789027e-232,"CHEK1"
1.29387167927404e-203,2.16922166633563,0.366,0.095,3.5864829077797e-199,"NRM"
3.69530088554412e-235,2.15354567248622,0.396,0.098,1.02430045246397e-230,"RMI2"
5.06719003077505e-181,2.13375743711797,0.364,0.105,1.40457440463054e-176,"LMNB2"
2.96439387504748e-323,2.13067098415658,0.726,0.355,8.21700338224411e-319,"RNASEH2A"
2.38194906419729e-165,2.12373085600543,0.452,0.157,6.60252461104847e-161,"IGKV3-15"
9.00952454502721e-245,2.1214775611924,0.411,0.101,2.49735010863609e-240,"LIN28B"
6.67576711693708e-127,2.11239040326304,0.274,0.082,1.85045588714379e-122,"HIST1H2BH"
2.70740999808942e-226,2.10997422960976,0.668,0.39,7.50466977370408e-222,"UBE2S"
6.16253705474336e-281,2.09694228708375,0.598,0.228,1.70819364620431e-276,"DBF4"
9.03489108121834e-262,2.09455489891997,0.594,0.235,2.50438145880291e-257,"MIS18BP1"
5.18819899335694e-263,2.09118165665664,0.567,0.199,1.43811687896861e-258,"BARD1"
0,2.08726977097818,0.799,0.315,0,"HMGB3"
3.96383026658989e-251,2.07986378096773,0.684,0.331,1.09873411159605e-246,"H2AFX"
6.75593460886711e-236,2.07816624302083,0.496,0.161,1.87267751423187e-231,"RTN4IP1"
9.86983347192176e-195,2.07658270802704,0.339,0.083,2.73581914008199e-190,"RTKN2"
1.20488408784846e-146,2.06590054351906,0.277,0.073,3.33981820310715e-142,"ANXA2R"
2.37850970984734e-246,2.04904942913373,0.558,0.218,6.59299106472585e-242,"SMC2"
1.32275206146746e-133,2.04378949924003,0.283,0.083,3.66653643918165e-129,"C9orf40"
0,2.04339174099588,0.818,0.454,0,"DTYMK"
8.63976320793152e-163,2.04261582496984,0.342,0.102,2.39485596360654e-158,"DONSON"
1.03194976289941e-175,2.04162609698028,0.432,0.155,2.86046154778087e-171,"CDKN2D"
1.07508122702502e-181,2.02923792522297,0.412,0.137,2.98001765319064e-177,"C14orf80"
1.46083588294185e-251,2.01208704428751,0.649,0.297,4.04929098392651e-247,"ANP32E"
2.7194771799735e-274,1.9951527597266,0.689,0.323,7.53811879516855e-270,"DNAJC9"
4.22999145077763e-196,1.97827347617251,0.415,0.13,1.17251133024105e-191,"LRR1"
3.05701122924406e-149,1.97719930244055,0.32,0.096,8.47372942634162e-145,"HELLS"
4.09996454848086e-223,1.95894155546035,0.496,0.169,1.13646917319341e-218,"EZH2"
6.53487384584919e-130,1.9589111434626,0.251,0.066,1.81140168133094e-125,"CENPL"
