"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0,0.876634772683554,0.257,0.063,0,"19","GORASP1"
0,0.469235510251936,0.309,0.115,0,"19","ALDH7A1"
0,0.541062955748265,0.263,0.069,0,"19","SLC25A45"
0,0.592583649377294,0.276,0.082,0,"19","RBM14"
0,0.284994385140841,0.322,0.128,0,"19","IRF2BPL"
0,0.967091260302929,0.268,0.074,0,"19","ANKS3"
0,0.7790146083404,0.286,0.092,0,"19","NT5DC2"
0,0.51462716326271,0.285,0.091,0,"19","APH1B"
0,0.511370120322598,0.287,0.093,0,"19","GCDH"
0,1.07210922083007,0.262,0.069,0,"19","KLHDC10"
0,0.285356708678157,0.315,0.122,0,"19","C14orf142"
0,1.43261990432932,0.251,0.058,0,"19","DECR2"
0,1.46499231718319,0.263,0.07,0,"19","PAQR4"
0,0.866526516364096,0.26,0.067,0,"19","NOL4L"
0,0.351794411106972,0.281,0.089,0,"19","POLR3E"
0,1.02046319434708,0.251,0.059,0,"19","COPG2"
0,0.270334184265077,0.315,0.123,0,"19","FBXO22"
0,0.34557615063039,0.996,0.804,0,"19","RPL38"
0,0.763319181433715,0.25,0.059,0,"19","MAP3K5"
0,0.51283121124563,0.273,0.082,0,"19","MEPCE"
0,0.378580727039354,0.274,0.083,0,"19","KDM7A"
0,0.922256571169717,0.262,0.071,0,"19","ALDH18A1"
0,0.308263003656915,0.293,0.102,0,"19","MOAP1"
0,0.461049356481275,0.287,0.096,0,"19","HMGCL"
0,0.361224273245208,0.308,0.118,0,"19","GMPPA"
0,0.251561321710013,0.305,0.115,0,"19","MRPL44"
0,0.687645519783537,0.252,0.062,0,"19","TEX9"
0,0.546787627862794,0.272,0.083,0,"19","D2HGDH"
0,0.715695328709135,0.256,0.067,0,"19","BTD"
0,0.401758041325268,0.302,0.113,0,"19","NR2C2AP"
0,0.625939898730421,0.287,0.098,0,"19","RABL6"
0,0.521770365189608,0.279,0.091,0,"19","KIAA1715"
0,0.555406202680785,0.28,0.092,0,"19","CSTF3"
0,0.533218819869216,0.279,0.091,0,"19","RAB30-AS1"
0,0.90527404194529,0.252,0.064,0,"19","PEX1"
0,0.688935992676082,0.251,0.063,0,"19","RAB4B"
0,0.284413646937023,0.3,0.113,0,"19","RPRD1A"
0,0.584155794478154,0.275,0.09,0,"19","UBE3C"
0,0.46234002361134,0.276,0.091,0,"19","ULK3"
0,0.605167555334964,0.279,0.094,0,"19","EPN2"
0,0.265042479058944,0.28,0.096,0,"19","GBP3"
0,0.509579946101572,0.25,0.066,0,"19","FBXO2"
0,0.627694699348196,0.26,0.076,0,"19","WLS"
0,0.559616690044572,0.252,0.068,0,"19","RP11-83A24.2"
0,0.498072895216401,0.262,0.078,0,"19","CCDC22"
0,0.854002094869781,0.255,0.071,0,"19","DIXDC1"
